TagID,Date,Time,accX,accY,accZ,Temp. (?C),Metadata
3_S4,04/05/2023,14:49:18.400,-0.078,0.031,1.032,,
3_S4,04/05/2023,14:49:18.500,-0.078,0.031,1.000,,
3_S4,04/05/2023,14:49:18.600,-0.094,0.078,1.000,,
3_S4,04/05/2023,14:49:18.700,-0.078,0.063,1.000,,
3_S4,04/05/2023,14:49:18.800,-0.078,0.031,0.985,,
3_S4,04/05/2023,14:49:18.900,-0.047,0.063,1.016,,
3_S4,04/05/2023,14:49:19.000,-0.016,0.078,1.032,,
3_S4,04/05/2023,14:49:19.100,-0.114,0.092,0.961,,
3_S4,04/05/2023,14:49:19.200,-0.138,0.094,0.978,,
3_S4,04/05/2023,14:49:19.300,-0.119,0.105,0.974,,
3_S4,04/05/2023,14:49:19.400,-0.100,0.119,0.978,,
3_S4,04/05/2023,14:49:19.500,-0.086,0.133,0.977,,
3_S4,04/05/2023,14:49:19.600,-0.066,0.116,1.000,,
3_S4,04/05/2023,14:49:19.700,-0.066,0.045,1.038,,
3_S4,04/05/2023,14:49:19.800,-0.113,-0.019,1.003,,
3_S4,04/05/2023,14:49:19.900,-0.125,0.031,0.953,,
3_S4,04/05/2023,14:49:20.000,0.000,0.063,1.063,,
3_S4,04/05/2023,14:49:20.100,0.000,0.094,1.016,,
3_S4,04/05/2023,14:49:20.200,-0.188,0.047,1.000,,
3_S4,04/05/2023,14:49:20.300,-0.172,0.063,0.985,,
3_S4,04/05/2023,14:49:20.400,-0.172,0.109,0.969,,
3_S4,04/05/2023,14:49:20.500,-0.172,0.094,0.985,,
3_S4,04/05/2023,14:49:20.600,-0.125,0.141,0.969,,
3_S4,04/05/2023,14:49:20.700,-0.094,0.188,0.985,,
3_S4,04/05/2023,14:49:20.800,-0.094,0.047,1.016,,
3_S4,04/05/2023,14:49:20.900,-0.094,0.094,1.000,,
3_S4,04/05/2023,14:49:21.000,-0.078,0.141,1.000,,
3_S4,04/05/2023,14:49:21.100,-0.078,0.141,1.016,,
3_S4,04/05/2023,14:49:21.200,-0.156,0.141,0.969,,
3_S4,04/05/2023,14:49:21.300,-0.094,0.156,0.985,,
3_S4,04/05/2023,14:49:21.400,-0.109,0.094,1.000,,
3_S4,04/05/2023,14:49:21.500,-0.063,0.188,0.985,,
3_S4,04/05/2023,14:49:21.600,-0.078,0.141,0.985,,
3_S4,04/05/2023,14:49:21.700,-0.063,0.141,1.000,,
3_S4,04/05/2023,14:49:21.800,-0.047,0.156,1.016,,
3_S4,04/05/2023,14:49:21.900,-0.063,0.172,1.000,,
3_S4,04/05/2023,14:49:22.000,-0.078,0.188,1.000,21,
3_S4,04/05/2023,14:49:22.100,-0.047,0.188,1.016,,
3_S4,04/05/2023,14:49:22.200,-0.063,0.141,1.000,,
3_S4,04/05/2023,14:49:22.300,-0.063,0.172,0.969,,
3_S4,04/05/2023,14:49:22.400,-0.063,0.156,1.016,,
3_S4,04/05/2023,14:49:22.500,-0.047,0.156,0.985,,
3_S4,04/05/2023,14:49:22.600,-0.063,0.172,0.985,,
3_S4,04/05/2023,14:49:22.700,-0.078,0.141,1.000,,
3_S4,04/05/2023,14:49:22.800,-0.063,0.141,0.985,,
3_S4,04/05/2023,14:49:22.900,-0.063,0.141,0.985,,
3_S4,04/05/2023,14:49:23.000,-0.063,0.156,0.985,,
3_S4,04/05/2023,14:49:23.100,-0.048,0.170,0.985,,
3_S4,04/05/2023,14:49:23.200,-0.047,0.147,0.985,,
3_S4,04/05/2023,14:49:23.300,-0.047,0.206,0.963,,
3_S4,04/05/2023,14:49:23.400,-0.141,0.150,0.972,,
3_S4,04/05/2023,14:49:23.500,-0.164,0.117,1.000,,
3_S4,04/05/2023,14:49:23.600,-0.131,0.191,0.978,,
3_S4,04/05/2023,14:49:23.700,-0.141,0.247,0.941,,
3_S4,04/05/2023,14:49:23.800,-0.138,0.184,0.997,,
3_S4,04/05/2023,14:49:23.900,-0.125,0.109,1.047,,
3_S4,04/05/2023,14:49:23.000,0.000,0.000,0.000,21,Power off command received.
